deal_id,address,cap_rate,cash_on_cash,risk_score,liquidity_score,appreciation_potential,vacancy_risk,interest_sensitivity,exit_multiple_proxy,days_on_market,location_score
DEAL-001,"983 River Rd, Indianapolis, IN",9.8,15.2,0.18,0.85,5.27,0.05,0.694,1.27,84,8.53
DEAL-002,"4444 Cedar Ln, Salt Lake City, UT",9.1,14.1,0.22,0.78,6.5,0.07,0.417,1.31,217,2.39
DEAL-003,"950 Elm Blvd, Charlotte, NC",8.7,13.5,0.25,0.82,2.38,0.06,0.582,1.5,10,3.81
DEAL-004,"1032 Maple Dr, Jacksonville, FL",5.5,7.2,0.55,0.23,9.5,0.197,0.383,0.92,97,8.5
DEAL-005,"7383 River Rd, Columbus, OH",5.8,7.8,0.62,0.437,8.8,0.39,0.158,1.39,10,8.9
DEAL-006,"7881 Maple Dr, Phoenix, AZ",6.1,8.0,0.48,0.644,10.2,0.411,0.11,1.25,124,8.2
DEAL-007,"8412 Cedar Ln, Tampa, FL",11.5,16.0,0.72,0.35,2.86,0.28,0.75,1.81,55,7.88
DEAL-008,"3770 Main Ave, Boise, ID",10.8,14.5,0.68,0.28,4.9,0.32,0.82,1.31,146,4.45
DEAL-009,"7836 Elm Blvd, Raleigh, NC",12.0,17.2,0.81,0.22,6.19,0.38,0.88,1.77,126,4.48
DEAL-010,"8244 Maple Dr, Raleigh, NC",6.05,10.54,0.157,0.68,4.52,0.45,0.491,1.07,172,7.31
DEAL-011,"4559 Main Ave, Phoenix, AZ",6.7,11.94,0.442,0.912,7.16,0.16,0.214,1.5,152,6.6
DEAL-012,"5589 Hill St, Austin, TX",9.89,11.84,0.27,0.585,6.21,0.45,0.364,1.43,135,7.49
DEAL-013,"8596 River Rd, Nashville, TN",5.64,12.5,0.299,0.646,6.18,0.224,0.564,1.13,203,6.16
DEAL-014,"6352 Main Ave, Kansas City, MO",8.94,10.2,0.482,0.567,5.61,0.417,0.727,1.39,101,7.0
DEAL-015,"7034 Pine Rd, Phoenix, AZ",4.17,9.23,0.431,0.749,9.16,0.357,0.404,1.65,226,6.78
DEAL-016,"9708 Cedar Ln, Boise, ID",6.6,10.26,0.233,0.862,4.09,0.146,0.641,1.27,258,7.9
DEAL-017,"6810 River Rd, Kansas City, MO",7.49,5.44,0.098,0.952,0.5,0.223,0.247,0.93,127,7.95
DEAL-018,"2026 Pine Rd, Tampa, FL",8.26,6.16,0.192,0.757,7.71,0.332,0.155,1.35,147,3.58
DEAL-019,"5027 Oak St, Denver, CO",8.48,6.53,0.207,0.781,3.58,0.151,0.1,1.12,83,2.45
DEAL-020,"1627 Elm Blvd, Columbus, OH",8.63,7.51,0.46,0.62,4.72,0.175,0.523,1.26,193,8.3
DEAL-021,"9232 Elm Blvd, Dallas, TX",6.57,11.7,0.558,0.762,7.12,0.407,0.26,1.33,178,8.64
DEAL-022,"9677 Cedar Ln, Nashville, TN",6.37,7.78,0.13,0.593,1.3,0.299,0.312,0.92,217,4.66
DEAL-023,"9063 Pine Rd, Phoenix, AZ",8.74,9.37,0.261,0.789,2.0,0.289,0.191,0.95,89,3.15
DEAL-024,"4748 River Rd, Atlanta, GA",6.86,14.4,0.541,0.698,1.3,0.334,0.187,1.47,171,6.68
DEAL-025,"4682 Main Ave, Columbus, OH",4.9,9.43,0.238,0.807,2.91,0.273,0.213,1.22,119,8.18
DEAL-026,"4809 Pine Rd, Charlotte, NC",5.16,12.71,0.41,0.902,5.38,0.296,0.608,0.8,51,9.74
DEAL-027,"5687 Elm Blvd, Jacksonville, FL",5.54,7.7,0.386,0.543,5.55,0.299,0.27,1.55,28,7.43
DEAL-028,"4427 Main Ave, Salt Lake City, UT",8.09,9.88,0.376,0.745,5.05,0.193,0.534,1.42,109,5.83
DEAL-029,"6334 Elm Blvd, Phoenix, AZ",7.46,7.65,0.244,0.688,1.67,0.45,0.1,1.17,99,4.89
DEAL-030,"3192 River Rd, Salt Lake City, UT",8.44,9.48,0.163,0.741,0.5,0.45,0.353,1.02,29,6.52
DEAL-031,"4408 River Rd, Salt Lake City, UT",6.43,13.02,0.291,0.77,4.61,0.084,0.278,1.56,90,5.96
DEAL-032,"3935 Hill St, Nashville, TN",7.49,5.32,0.403,0.781,3.56,0.363,0.1,1.44,159,4.67
